Model,Test Accuracy,Test Loss,Precision,Recall,F1-Score,Training Time (min),Total Parameters,Trainable Parameters
VGG16,0.5942999720573425,1.168854832649231,0.5938792893989067,0.5943,0.5862490256767504,9.710939109325409,14883274,167050
ResNet50,0.5072000026702881,1.4194408655166626,0.506028768316125,0.5072,0.49869644825812165,16.011783639589947,24155658,563338
MobileNetV2,0.3481000065803528,1.8411976099014282,0.35225972881933254,0.3481,0.3400279397107219,15.19235642751058,2626250,365194
